material_id,name,formula
mp-1178069,Li2Fe3CuO8 (mp-1178069),Li2Fe3CuO8
mp-1178076,Li2MnV3O8 (mp-1178076),Li2MnV3O8
mp-1178090,Li12Mn7V(PO4)12 (mp-1178090),Li12Mn7V(PO4)12
mp-1178094,Li11V6O5F19 (mp-1178094),Li11V6O5F19
mp-1178098,Li10Cr2Fe3Co3O16 (mp-1178098),Li10Cr2Fe3Co3O16
mp-1178100,Li17Cr6(Si2O7)6 (mp-1178100),Li17Cr6(Si2O7)6
mp-1178101,Li10Sc9Fe(SiO3)20 (mp-1178101),Li10Sc9Fe(SiO3)20
mp-1178106,Li(FeO2)2 (mp-1178106),Li(FeO2)2
mp-1178123,Li(CoO2)2 (mp-1178123),Li(CoO2)2
mp-1177976,Li2FeCo3O8 (mp-1177976),Li2FeCo3O8
mp-1177980,Li2MnV(PO4)3 (mp-1177980),Li2MnV(PO4)3
mp-1177992,Li2Mn(CoO3)2 (mp-1177992),Li2Mn(CoO3)2
mp-1177993,Li2Mn3SnO8 (mp-1177993),Li2Mn3SnO8
mp-1177996,Li2MgCr3(SO4)6 (mp-1177996),Li2MgCr3(SO4)6
mp-1177998,Li2FeSiO4 (mp-1177998),Li2FeSiO4
mp-1178002,Li2Fe2(CO3)3 (mp-1178002),Li2Fe2(CO3)3
mp-1178025,Li2Co3TeO8 (mp-1178025),Li2Co3TeO8
mp-1178026,Li2Co3TeO8 (mp-1178026),Li2Co3TeO8
mp-1178027,Li2CoNi3O8 (mp-1178027),Li2CoNi3O8
mp-1178040,Li2Cr3(CuO6)2 (mp-1178040),Li2Cr3(CuO6)2
mp-1178044,Li2Cr3NiO8 (mp-1178044),Li2Cr3NiO8
mp-1178128,La3MnO7 (mp-1178128),La3MnO7
mp-1178144,KBiPCO7 (mp-1178144),KBiPCO7
mp-1178498,Cd(CoO2)2 (mp-1178498),Cd(CoO2)2
mp-1178537,Co2C2O7 (mp-1178537),Co2C2O7
mp-1178540,CoO2 (mp-1178540),CoO2
mp-1178576,AlCoO3 (mp-1178576),AlCoO3
mp-1178753,VZnCu3Se4 (mp-1178753),VZnCu3Se4
mp-1178760,W2O7 (mp-1178760),W2O7
mp-1178771,YCu(WO4)2 (mp-1178771),YCu(WO4)2
mp-1178789,V2ZnO6 (mp-1178789),V2ZnO6
mp-1178903,VF3 (mp-1178903),VF3
mp-1178989,TlNiO3 (mp-1178989),TlNiO3
mp-1179076,SrVSi2O7 (mp-1179076),SrVSi2O7
mp-1179325,Sr (mp-1179325),Sr
mp-1178389,Fe2Co3Sb3O16 (mp-1178389),Fe2Co3Sb3O16
